00021f7cefa8b976ce63671551df608998716d565ae269a12df9722214e2b8ce, AdWare, MSIL, DomaIQ, not-a-virus:AdWare.MSIL.DomaIQ.cher, 2018
00083985997a44c1337dbdc239f538c068fb25c2b6834a2969c5ce300fae6c97, Trojan-Downloader, JS, Agent, Trojan-Downloader.JS.Agent.hbs, 2019
0008eab19dab906efd09a0fac1d88a063132f2e5bc3dfba87e8e30f9f710a2b6, AdWare, Win32, Fiseria, not-a-virus:AdWare.Win32.Fiseria.is, 2017
0001a9eb8aa10a633259c05e47456b77311d95bb01d8f1e764b6f5a27986bd49, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2014
000c7c2532743054a1e4701bd4ba537b86533533b8abc3da1156187c1f4f4e33, Backdoor, Win32, Androm, Backdoor.Win32.Androm.pjmd, 2019
000c16c094e6a673ab4e9c1288f0d0507f2b1352d2f25fb0e13ca5013361578e, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2018
0006ae73ae1679a3fff48d27a9b5f52d291674be85b3187e0f2a3007114ec596, Downloader, NSIS, Morstar, HEUR:Downloader.NSIS.Morstar.gen, 2018
000a8c9fe62657ab48ae8593de60de5337e0e2f9343702b27e2675e55d2aa643, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2013
0002d1b6cb24b4cf53b5458dc98d86a36e2e458abcb4bd412881e5bbbf91449d, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2008
000ccd7ebd832733a580b019d99b8f7d6d722ca403fa871a336cec0353022ccd, Trojan, Win32, AntiFW, Trojan.Win32.AntiFW.a, 2014
00076759b53799d973e35206ccbeb2bccebb249cc48a4542b2e15b53cb3e9fdd, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2012
00019ceeffdd908d15e6756cb37ac662ac60ec6d6534de31649a06d9cee7858d, Exploit, JS, Pdfka, Exploit.JS.Pdfka.fcf, 2016
000e56b1a5e2c298828dc36648a6e0a960f2e577feca0f245509c8b77908185d, Trojan-Downloader, JS, IFrame, Trojan-Downloader.JS.IFrame.cwy, 2013
000a972aa26d6d26924edb14d0fba1af10a4c98dbe8963de6db1b1fd45729def, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2015
